iter	Passed	Remaining
1033	69995	209919
1034	70053	209820
1035	70121	209754
1036	70191	209693
1037	70253	209609
1038	70312	209517
1039	70378	209443
1040	70447	209379
1041	70511	209302
1042	70570	209207
1043	70632	209124
1044	70704	209068
1045	70789	209052
1046	70860	208995
1047	70923	208911
1048	70991	208846
1049	71118	208951
1050	71214	208969
1051	71272	208872
1052	71329	208772
1053	71379	208651
1054	71445	208580
1055	71524	208544
1056	71570	208413
1057	71640	208354
1058	71725	208336
1059	71794	208271
1060	71861	208200
1061	71914	208092
1062	71971	207992
1063	72028	207894
1064	72091	207811
1065	72150	207720
1066	72218	207654
1067	72285	207584
1068	72350	207507
1069	72423	207456
1070	72482	207362
1071	72540	207267
1072	72594	207161
1073	72651	207063
1074	72705	206956
1075	72771	206885
1076	72841	206824
1077	72906	206749
1078	72911	206504
1079	72979	206436
1080	73049	206375
1081	73115	206303
1082	73178	206223
1083	73243	206150
1084	73307	206072
1085	73412	206108
1086	73500	206099
1087	73581	206068
1088	73666	206048
1089	73695	205873
1090	73789	205878
1091	73854	205806
1092	73910	205704
1093	73975	205630
1094	74037	205545
1095	74119	205518
1096	74211	205519
1097	74279	205453
1098	74347	205385
1099	74412	205309
1100	74493	205279
1101	74565	205223
1102	74642	205182
1103	74723	205150
1104	74796	205098
1105	74871	205050
1106	74947	205004
1107	75011	204928
1108	75069	204834
1109	75125	204735
1110	75189	204656
1111	75251	204573
1112	75308	204476
1113	75369	204389
1114	75453	204367
1115	75534	204335
1116	75616	204305
1117	75690	204254
1118	75749	204164
1119	75813	204088
1120	75867	203982
1121	75932	203906
1122	75989	203812
1123	75997	203582
1124	76062	203508
1125	76128	203436
1126	76190	203354
1127	76245	203254
1128	76301	203155
1129	76364	203076
1130	76430	203004
1131	76490	202917
1132	76549	202825
1133	76605	202728
1134	76666	202642
1135	76724	202551
1136	76786	202468
1137	76850	202390
1138	76913	202312
1139	76969	202213
1140	77036	202144
1141	77103	202077
1142	77160	201980
1143	77231	201922
1144	77297	201852
1145	77359	201769
1146	77415	201672
1147	77473	201579
1148	77537	201503
1149	77602	201430
1150	77674	201373
1151	77731	201278
1152	77794	201200
1153	77852	201107
1154	77911	201018
1155	77963	200910
1156	78038	200861
1157	78202	201044
1158	78275	200989
1159	78341	200918
1160	78402	200834
1161	78471	200770
1162	78550	200732
1163	78650	200746
1164	78761	200791
1165	78843	200759
1166	78905	200678
1167	78965	200591
1168	79030	200517
1169	79241	200812
1170	79313	200756
1171	79368	200657
1172	79422	200552
1173	79484	200472
1174	79544	200384
1175	79626	200351
1176	79705	200312
1177	79773	200246
1178	79838	200171
1179	79900	200089
1180	79957	199996
1181	80007	199884
1182	80060	199778
1183	80119	199690
1184	80185	199618
1185	80249	199542
1186	80316	199471
1187	80400	199443
1188	80491	199435
1189	80570	199395
1190	80646	199347
1191	80702	199250
1192	80756	199149
1193	80810	199047
1194	80872	198965
1195	80949	198922
1196	81031	198889
1197	81114	198858
1198	81200	198835
1199	81270	198773
1200	81337	198705
1201	81392	198606
1202	81399	198390
1203	81483	198362
1204	81544	198277
1205	81617	198222
1206	81678	198138
1207	81739	198055
1208	81798	197967
1209	81857	197878
1210	81920	197800
1211	81926	197583
1212	81978	197478
1213	82033	197380
1214	82088	197282
1215	82144	197187
1216	82212	197120
1217	82272	197034
1218	82323	196927
1219	82378	196829
1220	82432	196731
1221	82492	196644
1222	82552	196560
1223	82625	196505
1224	82691	196433
1225	82753	196354
1226	82817	196278
1227	82878	196196
1228	82934	196100
1229	82999	196027
1230	83061	195947
1231	83126	195872
1232	83187	195790
1233	83253	195719
1234	83305	195616
1235	83367	195535
1236	83429	195454
1237	83496	195386
1238	83564	195321
1239	83620	195227
1240	83680	195142
1241	83747	195073
1242	83805	194984
1243	83858	194882
1244	83916	194795
1245	83975	194707
1246	84051	194660
1247	84121	194598
1248	84192	194539
1249	84267	194489
1250	84335	194423
1251	84393	194335
1252	84451	194244
1253	84456	194035
1254	84462	193826
1255	84521	193739
1256	84580	193654
1257	84649	193590
1258	84736	193567
1259	84822	193543
1260	84901	193503
1261	84959	193413
1262	85020	193332
1263	85076	193240
1264	85141	193165
1265	85215	193115
1266	85314	193118
1267	85389	193070
1268	85459	193006
1269	85529	192945
1270	85592	192869
1271	85666	192817
1272	85844	192998
1273	85910	192928
1274	85976	192857
1275	86055	192816
1276	86134	192775
1277	86228	192766
1278	86315	192741
1279	86380	192668
1280	86444	192594
1281	86498	192495
1282	86549	192391
1283	86605	192299
1284	86662	192208
1285	86729	192139
1286	86794	192067
1287	86858	191991
1288	86925	191923
1289	86993	191856
1290	87056	191780
1291	87133	191733
1292	87223	191717
1293	87304	191678
1294	87396	191665
1295	87455	191579
1296	87509	191481
1297	87569	191398
1298	87632	191320
1299	87699	191253
1300	87767	191185
1301	87833	191114
1302	87896	191037
1303	87964	190973
1304	88024	190887
1305	88085	190806
1306	88154	190743
1307	88228	190690
1308	88306	190645
1309	88370	190570
1310	88438	190503
1311	88513	190451
1312	88582	190388
1313	88651	190324
1314	88724	190268
1315	88803	190225
1316	88884	190187
1317	88955	190126
1318	89016	190045
1319	89069	189946
1320	89129	189863
1321	89134	189663
1322	89201	189594
1323	89246	189480
1324	89308	189402
1325	89371	189325
1326	89433	189245
1327	89492	189160
1328	89558	189091
1329	89627	189026
1330	89693	188955
1331	89761	188890
1332	89838	188842
1333	89905	188775
1334	89973	188708
1335	90038	188635
1336	90109	188576
1337	90172	188499
1338	90246	188445
1339	90312	188376
1340	90377	188303
1341	90447	188240
1342	90512	188169
1343	90576	188094
1344	90648	188037
1345	90712	187961
1346	90779	187894
1347	90844	187821
1348	90910	187751
1349	90979	187686
1350	91046	187618
1351	91112	187547
1352	91180	187483
1353	91245	187410
1354	91309	187337
1355	91375	187265
1356	91443	187198
1357	91507	187125
1358	91570	187048
1359	91649	187005
1360	91717	186939
1361	91781	186865
1362	91841	186783
1363	91904	186705
1364	91967	186629
1365	92029	186552
1366	92096	186483
1367	92166	186422
1368	92230	186346
1369	92295	186275
1370	92363	186209
1371	92431	186143
1372	92500	186078
1373	92574	186024
1374	92641	185957
1375	92725	185923
1376	92802	185875
1377	92866	185801
1378	92920	185705
1379	92977	185617
1380	93044	185549
1381	93111	185481
1382	93182	185422
1383	93253	185360
1384	93317	185288
1385	93392	185234
1386	93474	185197
1387	93554	185153
1388	93628	185100
1389	93705	185050
1390	93777	184993
1391	93845	184926
1392	93918	184870
1393	93987	184805
1394	94051	184731
1395	94104	184636
1396	94159	184543
1397	94218	184460
1398	94288	184398
1399	94354	184329
1400	94420	184257
1401	94490	184195
1402	94546	184106
1403	94606	184025
1404	94668	183945
1405	94725	183859
1406	94787	183781
1407	94844	183693
1408	94901	183606
1409	94963	183529
1410	95018	183436
1411	95073	183346
1412	95135	183269
1413	95195	183187
1414	95262	183118
1415	95327	183046
1416	95393	182977
1417	95458	182905
1418	95527	182841
1419	95594	182774
1420	95655	182695
1421	95660	182508
1422	95725	182437
1423	95799	182383
1424	95872	182325
1425	95946	182271
1426	96008	182193
1427	96070	182117
1428	96131	182036
1429	96201	181975
1430	96260	181892
1431	96360	181887
1432	96419	181805
1433	96483	181729
1434	96546	181655
1435	96611	181583
1436	96684	181528
1437	96754	181465
1438	96826	181406
1439	96894	181341
1440	96972	181293
1441	97046	181239
1442	97120	181183
1443	97190	181121
1444	97257	181053
1445	97329	180994
1446	97400	180934
1447	97467	180867
1448	97529	180789
1449	97601	180730
1450	97669	180664
1451	97738	180600
1452	97803	180529
1453	97874	180468
1454	97947	180412
1455	97978	180278
1456	98055	180228
1457	98060	180046
1458	98125	179975
1459	98189	179902
1460	98256	179833
1461	98321	179763
1462	98392	179702
1463	98480	179673
1464	98548	179607
1465	98604	179518
1466	98683	179473
1467	98820	179532
1468	98934	179550
1469	99052	179575
1470	99181	179619
1471	99311	179665
1472	99389	179615
1473	99440	179520
1474	99491	179421
1475	99547	179334
1476	99604	179247
1477	99664	179166
1478	99724	179086
1479	99787	179010
1480	99845	178925
1481	99899	178834
1482	99959	178754
1483	100009	178656
1484	100067	178570
1485	100120	178478
1486	100173	178386
1487	100233	178305
1488	100297	178232
1489	100366	178167
1490	100432	178097
1491	100495	178022
1492	100563	177956
1493	100629	177886
1494	100693	177813
1495	100759	177743
1496	100822	177668
1497	100904	177626
1498	100997	177605
1499	101079	177562
1500	101204	177596
1501	101309	177595
1502	101408	177583
1503	101478	177520
1504	101534	177432
1505	101586	177337
1506	101640	177247
1507	101703	177171
1508	101765	177095
1509	101827	177018
1510	101892	176946
1511	101953	176867
1512	102018	176796
1513	102074	176708
1514	102148	176653
1515	102213	176581
1516	102284	176519
1517	102368	176480
1518	102436	176414
1519	102513	176363
1520	102606	176339
1521	102691	176303
1522	102791	176290
1523	102910	176311
1524	103041	176352
1525	103116	176297
1526	103173	176213
1527	103245	176151
1528	103315	176088
1529	103379	176015
1530	103468	175984
1531	103559	175955
1532	103620	175877
1533	103681	175799
1534	103780	175784
1535	103868	175752
1536	103945	175699
1537	104040	175678
1538	104115	175623
1539	104210	175600
1540	104310	175588
1541	104399	175556
1542	104492	175530
1543	104587	175509
1544	104704	175523
1545	104804	175510
1546	104877	175451
1547	104963	175414
1548	105046	175370
1549	105178	175410
1550	105262	175369
1551	105334	175309
1552	105410	175254
1553	105482	175193
1554	105553	175131
1555	105624	175068
1556	105711	175032
1557	105799	174996
1558	105905	174991
1559	105997	174963
1560	106094	174944
1561	106157	174867
1562	106217	174786
1563	106297	174737
1564	106405	174736
1565	106512	174731
1566	106608	174710
1567	106669	174631
1568	106733	174555
1569	106787	174465
1570	106854	174394
1571	106928	174336
1572	107038	174337
1573	107120	174292
1574	107249	174323
1575	107370	174341
1576	107477	174335
1577	107546	174268
1578	107632	174230
1579	107730	174209
1580	107834	174199
1581	107917	174154
1582	107987	174089
1583	108070	174045
1584	108158	174009
1585	108273	174015
1586	108414	174064
1587	108532	174075
1588	108625	174047
1589	108684	173963
1590	108738	173872
1591	108801	173794
1592	108867	173722
1593	108938	173659
1594	109008	173592
1595	109076	173524
1596	109152	173468
1597	109230	173415
1598	109311	173366
1599	109397	173327
1600	109534	173367
1601	109650	173374
1602	109765	173378
1603	109872	173371
1604	109973	173353
1605	110057	173309
1606	110136	173257
1607	110204	173188
1608	110266	173110
1609	110340	173050
1610	110415	172991
1611	110488	172930
1612	110560	172866
1613	110633	172804
1614	110748	172809
1615	110859	172805
1616	111007	172861
1617	111185	172962
1618	111282	172938
1619	111365	172891
1620	111435	172824
1621	111505	172757
1622	111582	172701
1623	111731	172757
1624	111840	172750
1625	111934	172719
1626	111992	172634
1627	112062	172567
1628	112152	172531
1629	112231	172478
1630	112381	172533
1631	112483	172515
1632	112567	172469
1633	112648	172420
1634	112723	172359
1635	112785	172280
1636	112845	172198
1637	112912	172126
1638	112989	172069
1639	113060	172003
1640	113139	171950
1641	113228	171911
1642	113311	171864
1643	113390	171809
1644	113398	171648
1645	113473	171589
1646	113536	171511
1647	113603	171439
1648	113714	171433
1649	113814	171410
1650	113924	171404
1651	113998	171342
1652	114090	171308
1653	114160	171240
1654	114228	171170
1655	114301	171106
1656	114377	171048
1657	114455	170993
1658	114528	170930
1659	114601	170867
1660	114681	170813
1661	114755	170751
